recipe_sku,recipe_name,preparation_instructions,ingredient,amount,unit
1,Chickpea Salad,1. Rinse chickpeas. 2. Dice cucumber and tomatoes. 3. Mix everything and drizzle olive oil.,canned chickpeas,100,g
1,Chickpea Salad,1. Rinse chickpeas. 2. Dice cucumber and tomatoes. 3. Mix everything and drizzle olive oil.,cucumber,50,g
1,Chickpea Salad,1. Rinse chickpeas. 2. Dice cucumber and tomatoes. 3. Mix everything and drizzle olive oil.,tomatoes,50,g
1,Chickpea Salad,1. Rinse chickpeas. 2. Dice cucumber and tomatoes. 3. Mix everything and drizzle olive oil.,olive oil,5,g
2,Beef Stir-Fry,1. Slice beef thinly. 2. Stir-fry beef and vegetables in sesame oil. 3. Serve hot.,lean beef,120,g
2,Beef Stir-Fry,1. Slice beef thinly. 2. Stir-fry beef and vegetables in sesame oil. 3. Serve hot.,bell peppers,50,g
2,Beef Stir-Fry,1. Slice beef thinly. 2. Stir-fry beef and vegetables in sesame oil. 3. Serve hot.,onions,30,g
2,Beef Stir-Fry,1. Slice beef thinly. 2. Stir-fry beef and vegetables in sesame oil. 3. Serve hot.,sesame oil,5,g
3,Avocado Egg Bowl,1. Slice avocado and egg. 2. Drizzle lemon juice over. 3. Serve together.,avocado,1,g
3,Avocado Egg Bowl,1. Slice avocado and egg. 2. Drizzle lemon juice over. 3. Serve together.,boild egg,100,g
3,Avocado Egg Bowl,1. Slice avocado and egg. 2. Drizzle lemon juice over. 3. Serve together.,lemon juice,5,g
4,Chicken Rice Bowl,1. Grill chicken. 2. Steam green beans. 3. Serve over brown rice.,grilled chicken,100,g
4,Chicken Rice Bowl,1. Grill chicken. 2. Steam green beans. 3. Serve over brown rice.,cooked brown rice,100,g
4,Chicken Rice Bowl,1. Grill chicken. 2. Steam green beans. 3. Serve over brown rice.,green beans,30,g
5,Lentil Soup,1. Cook lentils with diced carrots and celery. 2. Add olive oil before serving.,lentils,80,g
5,Lentil Soup,1. Cook lentils with diced carrots and celery. 2. Add olive oil before serving.,carrots,50,g
5,Lentil Soup,1. Cook lentils with diced carrots and celery. 2. Add olive oil before serving.,celery,50,g
5,Lentil Soup,1. Cook lentils with diced carrots and celery. 2. Add olive oil before serving.,olive oil,5,g
6,Quinoa Bowl,1. Cook quinoa. 2. Mix with vegetables and chickpeas. 3. Serve warm.,cooked quinoa,150,g
6,Quinoa Bowl,1. Cook quinoa. 2. Mix with vegetables and chickpeas. 3. Serve warm.,mixed vegetables,100,g
6,Quinoa Bowl,1. Cook quinoa. 2. Mix with vegetables and chickpeas. 3. Serve warm.,chickpeas,50,g
7,Greek Yogurt Parfait,1. Layer yogurt with berries and drizzle honey. 2. Serve chilled.,Greek yogurt,200,g
7,Greek Yogurt Parfait,1. Layer yogurt with berries and drizzle honey. 2. Serve chilled.,berries,50,g
7,Greek Yogurt Parfait,1. Layer yogurt with berries and drizzle honey. 2. Serve chilled.,honey,10,g
8,Oatmeal Bowl,1. Cook oats in almond milk. 2. Top with nuts. 3. Serve warm.,oats,100,g
8,Oatmeal Bowl,1. Cook oats in almond milk. 2. Top with nuts. 3. Serve warm.,almond milk,200,ml
8,Oatmeal Bowl,1. Cook oats in almond milk. 2. Top with nuts. 3. Serve warm.,nuts,30,g
9,Tuna Salad,1. Mix tuna with chopped lettuce. 2. Drizzle olive oil before serving.,canned tuna,150,g
9,Tuna Salad,1. Mix tuna with chopped lettuce. 2. Drizzle olive oil before serving.,lettuce,50,g
9,Tuna Salad,1. Mix tuna with chopped lettuce. 2. Drizzle olive oil before serving.,olive oil,10,g
10,Turkey Wrap,1. Fill wrap with turkey and veggies. 2. Roll and serve.,turkey breast,100,g
10,Turkey Wrap,1. Fill wrap with turkey and veggies. 2. Roll and serve.,Whole wheat wrap,,
10,Turkey Wrap,1. Fill wrap with turkey and veggies. 2. Roll and serve.,Lettuce and tomato,,
11,Salmon and Asparagus,1. Bake salmon and asparagus with olive oil. 2. Serve hot.,salmon,100,g
11,Salmon and Asparagus,1. Bake salmon and asparagus with olive oil. 2. Serve hot.,asparagus,50,g
11,Salmon and Asparagus,1. Bake salmon and asparagus with olive oil. 2. Serve hot.,olive oil,5,g
12,Black Bean Burrito,"1. Fill tortilla with beans, lettuce, and salsa. 2. Roll and serve.",black beans,100,g
